Defocus,Resolution (nm)
-3.3450726675620237e-06,4.89501953125
-3.238879884464817e-06,4.8095703125
-3.1326871013676095e-06,4.724121093750001
-3.0264943182704022e-06,4.6356201171875
-2.9203015351731953e-06,4.5501708984375
-2.8141087520759885e-06,4.4647216796875
-2.707915968978781e-06,4.382324218750001
-2.601723185881574e-06,4.2999267578125
-2.495530402784367e-06,4.217529296875
-2.38933761968716e-06,4.13818359375
-2.2831448365899527e-06,4.0557861328125
-2.1769520534927454e-06,3.976440429687501
-2.0707592703955385e-06,3.8909912109375004
-1.9645664872983317e-06,3.80859375
-1.8583737042011243e-06,3.7231445312500004
-1.7521809211039172e-06,3.6346435546875
-1.6459881380067101e-06,3.5369873046875004
-1.539795354909503e-06,3.4393310546875
-1.433602571812296e-06,3.33251953125
-1.3274097887150886e-06,3.22265625
-1.2212170056178818e-06,3.1097412109375004
-1.1150242225206749e-06,2.9876708984375
-1.0088314394234676e-06,2.862548828125
-9.026386563262602e-07,2.7374267578125004
-7.964458732290534e-07,2.6153564453125004
-6.902530901318465e-07,2.4932861328125
-5.840603070346392e-07,2.3712158203125
-4.778675239374318e-07,2.2613525390625004
-3.7167474084022495e-07,2.16064453125
-2.6548195774301807e-07,2.0690917968750004
-1.5928917464581076e-07,1.9866943359375002
-5.3096391548603444e-08,1.9165039062500002
5.3096391548603444e-08,1.85546875
1.5928917464581033e-07,1.806640625
2.6548195774301764e-07,1.763916015625
3.7167474084022495e-07,1.7364501953125
4.778675239374318e-07,1.7150878906250002
5.840603070346387e-07,1.7059326171875
6.902530901318465e-07,1.7059326171875
7.964458732290534e-07,1.7181396484375
9.026386563262602e-07,1.7364501953125
1.0088314394234671e-06,1.7730712890625
1.115024222520674e-06,1.8157958984375002
1.2212170056178818e-06,1.8768310546875002
1.3274097887150886e-06,1.9500732421875002
1.4336025718122955e-06,2.0355224609375004
1.5397953549095033e-06,2.1392822265625004
1.6459881380067101e-06,2.264404296875
1.752180921103917e-06,2.40478515625
1.858373704201124e-06,2.5634765625000004
1.964566487298331e-06,2.7343750000000004
2.0707592703955385e-06,2.9144287109375004
2.1769520534927454e-06,3.1005859375
2.2831448365899523e-06,3.2836914062500004
2.38933761968716e-06,3.460693359375
2.495530402784367e-06,3.6193847656250004
2.601723185881574e-06,3.7689208984375004
2.7079159689787807e-06,3.909301757812501
2.8141087520759876e-06,4.0283203125
2.9203015351731953e-06,4.144287109375001
3.0264943182704022e-06,4.248046875000001
3.132687101367609e-06,4.3426513671875
3.238879884464817e-06,4.4342041015625
3.3450726675620237e-06,4.522705078125001
