Defocus,Resolution (nm)
-3.3450726675620237e-06,5.45654296875
-3.238879884464817e-06,5.389404296875
-3.1326871013676095e-06,5.316162109375
-3.0264943182704022e-06,5.242919921875
-2.9203015351731953e-06,5.16357421875
-2.8141087520759885e-06,5.0872802734375
-2.707915968978781e-06,5.001831054687501
-2.601723185881574e-06,4.9163818359375
-2.495530402784367e-06,4.8309326171875
-2.38933761968716e-06,4.74853515625
-2.2831448365899527e-06,4.663085937500001
-2.1769520534927454e-06,4.580688476562501
-2.0707592703955385e-06,4.4952392578125
-1.9645664872983317e-06,4.4158935546875
-1.8583737042011243e-06,4.33349609375
-1.7521809211039172e-06,4.251098632812501
-1.6459881380067101e-06,4.168701171875
-1.539795354909503e-06,4.0863037109375
-1.433602571812296e-06,4.00390625
-1.3274097887150886e-06,3.9154052734375
-1.2212170056178818e-06,3.8330078125000004
-1.1150242225206749e-06,3.741455078125
-1.0088314394234676e-06,3.643798828125
-9.026386563262602e-07,3.5491943359375004
-7.964458732290534e-07,3.4454345703125
-6.902530901318465e-07,3.338623046875
-5.840603070346392e-07,3.2318115234375
-4.778675239374318e-07,3.1158447265625004
-3.7167474084022495e-07,3.0029296875
-2.6548195774301807e-07,2.8839111328125
-1.5928917464581076e-07,2.7679443359375004
-5.3096391548603444e-08,2.6519775390625
5.3096391548603444e-08,2.5421142578125
1.5928917464581033e-07,2.4383544921875
2.6548195774301764e-07,2.34375
3.7167474084022495e-07,2.252197265625
4.778675239374318e-07,2.1728515625
5.840603070346387e-07,2.1026611328125004
6.902530901318465e-07,2.044677734375
7.964458732290534e-07,1.9958496093750002
9.026386563262602e-07,1.9531250000000002
1.0088314394234671e-06,1.9195556640625004
1.115024222520674e-06,1.8951416015625002
1.2212170056178818e-06,1.8829345703125002
1.3274097887150886e-06,1.8798828125000002
1.4336025718122955e-06,1.8859863281250004
1.5397953549095033e-06,1.8981933593750002
1.6459881380067101e-06,1.922607421875
1.752180921103917e-06,1.9561767578125
1.858373704201124e-06,2.001953125
1.964566487298331e-06,2.0568847656250004
2.0707592703955385e-06,2.1240234375000004
2.1769520534927454e-06,2.203369140625
2.2831448365899523e-06,2.2979736328125
2.38933761968716e-06,2.4017333984375
2.495530402784367e-06,2.5146484375
2.601723185881574e-06,2.642822265625
2.7079159689787807e-06,2.777099609375
2.8141087520759876e-06,2.9205322265625
2.9203015351731953e-06,3.0609130859375
3.0264943182704022e-06,3.2073974609375
3.132687101367609e-06,3.3508300781250004
3.238879884464817e-06,3.4881591796875004
3.3450726675620237e-06,3.6193847656250004
