Aperture angle (mrad),Resolution (nm)
0.0005,7.641601562500001
0.0007,5.38330078125
0.0009,4.150390625
0.0010999999999999998,3.3813476562500004
0.0013,2.8564453125
0.0015,2.4658203125000004
0.0017,2.1606445312500004
0.0018999999999999998,1.9287109375000002
0.0021,1.7578125000000002
0.0023,1.59912109375
0.0025,1.46484375
0.0026999999999999997,1.3427734375
0.0029,1.2573242187500002
0.0031,1.18408203125
0.0032999999999999995,1.0986328125000002
0.0034999999999999996,1.0498046874999998
0.0036999999999999997,0.98876953125
0.0039,0.9399414062500001
0.0040999999999999995,0.89111328125
0.0043,0.84228515625
0.0045000000000000005,0.81787109375
0.004699999999999999,0.7812500000000001
0.0049,0.7446289062500001
0.0051,0.7080078125
0.005299999999999999,0.6835937500000001
0.0055,0.67138671875
0.0057,0.64697265625
0.005899999999999999,0.62255859375
0.0060999999999999995,0.5981445312500001
0.0063,0.5859375
0.006499999999999999,0.5737304687500001
0.006699999999999999,0.5615234375
0.0069,0.5493164062500001
0.007099999999999999,0.537109375
0.007299999999999999,0.537109375
0.0075,0.537109375
0.0077,0.537109375
0.007899999999999999,0.5493164062500001
0.0081,0.5615234375
0.0083,0.5737304687500001
0.0085,0.5859375
0.0087,0.5981445312500001
0.0089,0.6103515625
0.0091,0.5981445312500001
0.0093,0.5859375
0.0095,0.5859375
0.0097,0.5859375
0.009899999999999999,0.5859375
0.0101,0.5859375
0.0103,0.5859375
0.0104,0.5859375 
0.01177143,0.5859375
0.01314286,0.5859375
0.01451429,0.5859375
0.01588571,0.5859375
0.01725714,0.5859375
0.01862857,0.5859375
0.02,0.5859375
