Defocus,Resolution (nm)

-3.3450726675620237e-06,4.815673828125

-3.238879884464817e-06,4.74853515625

-3.1326871013676095e-06,4.67529296875

-3.0264943182704022e-06,4.6142578125

-2.9203015351731953e-06,4.534912109375

-2.8141087520759885e-06,4.461669921875

-2.707915968978781e-06,4.382324218750001

-2.601723185881574e-06,4.296875

-2.495530402784367e-06,4.217529296875

-2.38933761968716e-06,4.119873046875

-2.2831448365899527e-06,4.034423828125001

-2.1769520534927454e-06,3.94287109375

-2.0707592703955385e-06,3.851318359375

-1.9645664872983317e-06,3.7536621093750004

-1.8583737042011243e-06,3.6682128906250004

-1.7521809211039172e-06,3.57666015625

-1.6459881380067101e-06,3.47900390625

-1.539795354909503e-06,3.3935546875

-1.433602571812296e-06,3.302001953125

-1.3274097887150886e-06,3.204345703125

-1.2212170056178818e-06,3.1066894531250004

-1.1150242225206749e-06,3.0090332031250004

-1.0088314394234676e-06,2.9052734375000004

-9.026386563262602e-07,2.8076171875000004

-7.964458732290534e-07,2.7099609375000004

-6.902530901318465e-07,2.606201171875

-5.840603070346392e-07,2.5146484375

-4.778675239374318e-07,2.423095703125

-3.7167474084022495e-07,2.337646484375

-2.6548195774301807e-07,2.24609375

-1.5928917464581076e-07,2.166748046875

-5.3096391548603444e-08,2.081298828125

5.3096391548603444e-08,2.008056640625

1.5928917464581033e-07,1.9348144531249998

2.6548195774301764e-07,1.8676757812500002

3.7167474084022495e-07,1.8005371093750002

4.778675239374318e-07,1.7456054687500002

5.840603070346387e-07,1.69677734375

6.902530901318465e-07,1.6418457031250002

7.964458732290534e-07,1.611328125

9.026386563262602e-07,1.5869140625

1.0088314394234671e-06,1.5808105468750002

1.115024222520674e-06,1.593017578125

1.2212170056178818e-06,1.617431640625

1.3274097887150886e-06,1.6723632812500002

1.4336025718122955e-06,1.751708984375

1.5397953549095033e-06,1.873779296875

1.6459881380067101e-06,2.0324707031249996

1.752180921103917e-06,2.23388671875

1.858373704201124e-06,2.484130859375

1.964566487298331e-06,2.7465820312499996

2.0707592703955385e-06,2.996826171875

2.1769520534927454e-06,3.2104492187500004

2.2831448365899523e-06,3.3874511718750004

2.38933761968716e-06,3.52783203125

2.495530402784367e-06,3.6560058593750004

2.601723185881574e-06,3.7658691406250004

2.7079159689787807e-06,3.8635253906250004

2.8141087520759876e-06,3.9611816406250004

2.9203015351731953e-06,4.058837890625

3.0264943182704022e-06,4.168701171875

3.132687101367609e-06,4.278564453125

3.238879884464817e-06,4.412841796875

3.3450726675620237e-06,4.547119140625

