Defocus,Resolution (nm)
-3.785179702759338e-07,1.6479492187500002
-3.666892837048109e-07,1.6235351562500002
-3.5486059713368794e-07,1.59912109375
-3.4303191056256505e-07,1.5747070312500002
-3.312032239914421e-07,1.5380859375000002
-3.1937453742031916e-07,1.50146484375
-3.075458508491962e-07,1.4770507812500002
-2.957171642780733e-07,1.4526367187500002
-2.838884777069504e-07,1.416015625
-2.7205979113582745e-07,1.37939453125
-2.602311045647045e-07,1.35498046875
-2.4840241799358157e-07,1.33056640625
-2.3657373142245862e-07,1.2817382812500002
-2.247450448513357e-07,1.2695312500000002
-2.1291635828021277e-07,1.2329101562500002
-2.0108767170908985e-07,1.20849609375
-1.892589851379669e-07,1.171875
-1.7743029856684397e-07,1.1474609375000002
-1.6560161199572105e-07,1.123046875
-1.537729254245981e-07,1.07421875
-1.419442388534752e-07,1.0498046875
-1.3011555228235225e-07,1.01318359375
-1.1828686571122931e-07,0.9643554687500001
-1.0645817914010637e-07,0.91552734375
-9.462949256898343e-08,0.86669921875
-8.280080599786054e-08,0.84228515625
-7.09721194267376e-08,0.79345703125
-5.9143432855614656e-08,0.7568359375
-4.7314746284491714e-08,0.7080078125
-3.548605971336877e-08,0.67138671875
-2.3657373142245884e-08,0.6347656250000001
-1.1828686571122942e-08,0.62255859375
0.0,0.5859375
1.1828686571122942e-08,0.5737304687500001
2.3657373142245884e-08,0.5493164062500001
3.548605971336877e-08,0.537109375
4.7314746284491714e-08,0.52490234375
5.9143432855614656e-08,0.52490234375
7.09721194267376e-08,0.52490234375
8.280080599786054e-08,0.52490234375
9.462949256898343e-08,0.52490234375
1.0645817914010642e-07,0.5493164062500001
1.1828686571122931e-07,0.5493164062500001
1.301155522823522e-07,0.5859375
1.419442388534752e-07,0.6103515625
1.5377292542459808e-07,0.64697265625
1.6560161199572108e-07,0.69580078125
1.7743029856684397e-07,0.7446289062500001
1.8925898513796696e-07,0.8056640625000001
2.0108767170908985e-07,0.8789062500000001
2.1291635828021274e-07,0.9521484375
2.2474504485133573e-07,1.025390625
2.3657373142245862e-07,1.0986328125
2.484024179935816e-07,1.15966796875
2.602311045647045e-07,1.220703125
2.720597911358274e-07,1.26953125
2.838884777069504e-07,1.30615234375
2.957171642780733e-07,1.3427734375
3.075458508491963e-07,1.37939453125
3.1937453742031916e-07,1.416015625
3.3120322399144205e-07,1.4404296875
3.4303191056256505e-07,1.47705078125
3.5486059713368794e-07,1.4892578125000002
3.6668928370481093e-07,1.52587890625
3.785179702759338e-07,1.55029296875
