Defocus,Resolution (nm)

-3.3450726675620237e-06,5.38330078125

-3.238879884464817e-06,5.316162109375

-3.1326871013676095e-06,5.242919921875

-3.0264943182704022e-06,5.17578125

-2.9203015351731953e-06,5.096435546875

-2.8141087520759885e-06,5.029296875

-2.707915968978781e-06,4.9560546875

-2.601723185881574e-06,4.870605468750001

-2.495530402784367e-06,4.797363281250001

-2.38933761968716e-06,4.718017578125001

-2.2831448365899527e-06,4.632568359375

-2.1769520534927454e-06,4.559326171875

-2.0707592703955385e-06,4.473876953125

-1.9645664872983317e-06,4.400634765625

-1.8583737042011243e-06,4.3212890625

-1.7521809211039172e-06,4.248046875000001

-1.6459881380067101e-06,4.16259765625

-1.539795354909503e-06,4.08935546875

-1.433602571812296e-06,4.003906250000001

-1.3274097887150886e-06,3.912353515625001

-1.2212170056178818e-06,3.8208007812500004

-1.1150242225206749e-06,3.7292480468750004

-1.0088314394234676e-06,3.6315917968750004

-9.026386563262602e-07,3.533935546875

-7.964458732290534e-07,3.4423828125

-6.902530901318465e-07,3.3447265625000004

-5.840603070346392e-07,3.2470703125000004

-4.778675239374318e-07,3.1494140625000004

-3.7167474084022495e-07,3.0517578125

-2.6548195774301807e-07,2.960205078125

-1.5928917464581076e-07,2.862548828125

-5.3096391548603444e-08,2.764892578125

5.3096391548603444e-08,2.6611328125

1.5928917464581033e-07,2.5695800781250004

2.6548195774301764e-07,2.471923828125

3.7167474084022495e-07,2.38037109375

4.778675239374318e-07,2.2949218750000004

5.840603070346387e-07,2.215576171875

6.902530901318465e-07,2.130126953125

7.964458732290534e-07,2.06298828125

9.026386563262602e-07,2.0019531250000004

1.0088314394234671e-06,1.9348144531249998

1.115024222520674e-06,1.8859863281250004

1.2212170056178818e-06,1.837158203125

1.3274097887150886e-06,1.8005371093750002

1.4336025718122955e-06,1.77001953125

1.5397953549095033e-06,1.7517089843750002

1.6459881380067101e-06,1.7456054687500002

1.752180921103917e-06,1.7517089843750002

1.858373704201124e-06,1.7822265625

1.964566487298331e-06,1.8432617187500002

2.0707592703955385e-06,1.922607421875

2.1769520534927454e-06,2.03857421875

2.2831448365899523e-06,2.18505859375

2.38933761968716e-06,2.3620605468750004

2.495530402784367e-06,2.55126953125

2.601723185881574e-06,2.7343750000000004

2.7079159689787807e-06,2.9052734375000004

2.8141087520759876e-06,3.0517578125

2.9203015351731953e-06,3.18603515625

3.0264943182704022e-06,3.30810546875

3.132687101367609e-06,3.411865234375

3.238879884464817e-06,3.5156250000000004

3.3450726675620237e-06,3.6254882812500004

