Aperture angle (mrad),Resolution (nm)
0.0005,7.653808593750001
0.0005714285714285715,6.628417968750001
0.0006428571428571429,5.82275390625
0.0007142857142857143,5.212402343750001
0.0007857142857142857,4.69970703125
0.0008571428571428572,4.321289062500001
0.0009285714285714286,3.9794921875
0.001,3.7841796875
0.0010714285714285715,3.5400390625000004
0.001142857142857143,3.3203125000000004
0.0012142857142857144,3.1494140625000004
0.0012857142857142859,2.99072265625
0.0013571428571428571,2.8686523437500004
0.0014285714285714288,2.7709960937500004
0.0015,2.7099609375000004
0.0015714285714285715,2.6367187500000004
0.001642857142857143,2.57568359375
0.0017142857142857144,2.5390625
0.0017857142857142859,2.5146484375000004
0.0018571428571428573,2.490234375
0.0019285714285714288,2.490234375
0.002,2.490234375
0.0020714285714285713,2.5024414062500004
0.002142857142857143,2.5146484375
0.0022142857142857146,2.5390625000000004
0.002285714285714286,2.57568359375
0.002357142857142857,2.6000976562500004
0.002428571428571429,2.6367187500000004
0.0025,2.6611328125
0.0025714285714285717,2.685546875
0.002642857142857143,2.7099609375000004
0.0027142857142857147,2.7343750000000004
0.002785714285714286,2.7343750000000004
0.002857142857142857,2.74658203125
0.002928571428571429,2.7343750000000004
0.003,2.7343750000000004
0.0030714285714285717,2.7343750000000004
0.003142857142857143,2.72216796875
0.0032142857142857147,2.72216796875
0.003285714285714286,2.7099609375000004
0.0033571428571428576,2.7099609375000004
0.003428571428571429,2.7099609375000004
0.0035,2.7099609375000004
0.0035714285714285718,2.7099609375000004
0.003642857142857143,2.7099609375000004
0.0037142857142857147,2.7099609375000004
0.003785714285714286,2.7099609375000004
0.0038571428571428576,2.7099609375000004
0.003928571428571429,2.7099609375000004
0.004,2.7099609375000004
0.004200000000000001,2.7099609375000004
0.0064571428571428575,2.7099609375000004
0.008714285714285716,2.7099609375000004
0.010971428571428573,2.7099609375000004
0.01322857142857143,2.7099609375000004
0.015485714285714287,2.7099609375000004
0.017742857142857144,2.7099609375000004
0.02,2.7099609375000004
